SCRIP_CD,Scrip_Name,Status,GROUP,FACE_VALUE,ISIN_NUMBER,INDUSTRY,scrip_id,Segment,NSURL,Issuer_Name,Mktcap
542332,Hi-Klass Trading and Investment Ltd,Active,XT,5.00,INE302R01024,,HIKLASS,Equity,https://www.bseindia.com/stock-share-price/hi-klass-trading-and-investment-ltd/hiklass/542332/,Hi-Klass Trading and Investment Limited,233.43
542333,RPSG Ventures Ltd,Active,B,10.00,INE425Y01011,,RPSGVENT,Equity,https://www.bseindia.com/stock-share-price/rpsg-ventures-ltd/rpsgvent/542333/,RPSG VENTURES LIMITED,2885.63
542337,Spencers Retail Ltd,Active,B,5.00,INE020801028,,SPENCERS,Equity,https://www.bseindia.com/stock-share-price/spencers-retail-ltd/spencers/542337/,Spencer's Retail Limited,334.03
542351,Gloster Ltd,Active,B,10.00,INE350Z01018,,GLOSTERLTD,Equity,https://www.bseindia.com/stock-share-price/gloster-ltd/glosterltd/542351/,Gloster Ltd,768.16
542367,Xelpmoc Design and Tech Ltd,Active,B,10.00,INE01P501012,,XELPMOC,Equity,https://www.bseindia.com/stock-share-price/xelpmoc-design-and-tech-ltd/xelpmoc/542367/,Xelpmoc Design and Tech Limited,126.76
542376,SPA Capital Services Ltd,Active,XT,10.00,INE726X01014,,SPACAPS,Equity,https://www.bseindia.com/stock-share-price/spa-capital-services-ltd/spacaps/542376/,SPA Capital Services Limited,60.56
542377,Aar Shyam India Investment Company Ltd,Active,XT,10.00,INE512R01010,,AARSHYAM,Equity,https://www.bseindia.com/stock-share-price/aar-shyam-india-investment-company-ltd/aarshyam/542377/,Aar Shyam India Investment Company Limited,4.07
542383,Ritco Logistics Ltd,Active,B,10.00,INE01EG01016,,RITCO,Equity,https://www.bseindia.com/stock-share-price/ritco-logistics-ltd/ritco/542383/,Ritco Logistics Limited,784.41
542399,Chalet Hotels Ltd,Active,A,10.00,INE427F01016,,CHALET,Equity,https://www.bseindia.com/stock-share-price/chalet-hotels-ltd/chalet/542399/,Chalet Hotels Limited,17534.86
542437,Anmol India Ltd,Active,B,10.00,INE02AR01019,,ANMOL,Equity,https://www.bseindia.com/stock-share-price/anmol-india-ltd/anmol/542437/,Anmol India Limited,68.47
542446,Jonjua Overseas Ltd,Active,MT,10.00,INE793Z01027,,JONJUA,Equity,https://www.bseindia.com/stock-share-price/jonjua-overseas-ltd/jonjua/542446/,Jonjua Overseas Limited,9.33
542459,Kranti Industries Ltd,Active,B,10.00,INE911T01010,,KRANTI,Equity,https://www.bseindia.com/stock-share-price/kranti-industries-ltd/kranti/542459/,Kranti Industries Limited,80.29
542460,The Anup Engineering Ltd,Active,A,10.00,INE294Z01018,,ANUP,Equity,https://www.bseindia.com/stock-share-price/the-anup-engineering-ltd/anup/542460/,The Anup Engineering Ltd,4493.76
542477,Glaam Up Jwel Ltd,Active,MT,10.00,INE03CM01014,,GLAAMUP,Equity,https://www.bseindia.com/stock-share-price/glaam-up-jwel-ltd/glaamup/542477/,GLAAM UP JWEL LIMITED,16.48
542484,Arvind Fashions Ltd,Active,A,4.00,INE955V01021,,ARVINDFASN,Equity,https://www.bseindia.com/stock-share-price/arvind-fashions-ltd/arvindfasn/542484/,Arvind Fashions Limited,6500.44
